type	latitude	longitude	name	desc
W	25.360555556	-80.552500000	HM-65/66-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.388055556	-80.683055556	HM-69-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.370000000	-80.684444444	HM-69-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.737500000	-80.481666667	HM-95-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.750277778	-80.489444444	HM-95-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	32.674444444	-83.765277778	R-88-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Georgia">List of Nike missile sites</a>
W	32.672222222	-83.785833333	R-88-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Georgia">List of Nike missile sites</a>
W	32.624722222	-83.364722222	R-28-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Georgia">List of Nike missile sites</a>
W	32.628333333	-83.351388889	R-28-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Georgia">List of Nike missile sites</a>
W	31.633333333	-84.256666667	TU-79-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Georgia">List of Nike missile sites</a>
W	31.630555556	-84.278333333	TU-79-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Georgia">List of Nike missile sites</a>
W	31.554444444	-83.915555556	TU-28-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Georgia">List of Nike missile sites</a>
W	31.556388889	-83.905000000	TU-28-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Georgia">List of Nike missile sites</a>
W	21.666944444	-157.999722222	OA-17-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	21.664444444	-157.981944444	OA-17-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	21.320277778	-157.681666667	OA-32-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	21.348611111	-157.707500000	OA-32-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	21.386111111	-158.105277778	OA-63-CS-1	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	21.377222222	-158.111944444	OA-63-CS-2	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	21.364166667	-158.112500000	OA-63-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	21.545833333	-158.194722222	OA-84-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	21.576944444	-158.195000000	OA-84-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Hawaii">List of Nike missile sites</a>
W	41.964166667	-87.635277778	C-03-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Illinois_and_Northwest_Indiana">List of Nike missile sites</a>
W	41.938333333	-87.634166667	C-03-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Illinois_and_Northwest_Indiana">List of Nike missile sites</a>
W	41.630555556	-87.087777778	C-32-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Illinois_and_Northwest_Indiana">List of Nike missile sites</a>
W	41.631944444	-87.074444444	C-32-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Illinois_and_Northwest_Indiana">List of Nike missile sites</a>
W	41.837777778	-87.606666667	C-40-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Illinois_and_Northwest_Indiana">List of Nike missile sites</a>
W	41.848333333	-87.612222222	C-40-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Illinois_and_Northwest_Indiana">List of Nike missile sites</a>
W	41.796134000	-87.575549000	C-41-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-20">List of Nike missile sites</a>
W	41.784142000	-87.580163000	C-41-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-21">List of Nike missile sites</a>
W	41.657500000	-87.531944444	C-44-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-21">List of Nike missile sites</a>
W	41.676111111	-87.527777778	C-44-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-21">List of Nike missile sites</a>
