type,latitude,longitude,name
W,47.79,-122.2363889,S-03-LS
W,47.685,-122.1091667,S-13/14-CS
W,47.68333333,-122.0733333,S-13/14-LS
W,47.54055556,-122.0972222,S-20-CS
W,47.53333333,-122.1136111,S-20-LS
W,47.43583333,-122.1169444,S-32-CS
W,47.45194444,-122.1141667,S-32-LS
W,47.43027778,-122.145,S-33-CS
W,47.38111111,-122.2827778,S-43-LS
W,47.3975,-122.2855556,S-43-LS
W,47.41694444,-122.4627778,S-61-CS
W,47.41083333,-122.4836111,S-61-LS
W,47.43111111,-122.5411111,S-62-CS
W,47.41944444,-122.5555556,S-62-LS
W,47.725,-122.6225,S-81-CS
W,47.75722222,-122.6608333,S-81-LS
W,47.60916667,-122.5230556,S-92-CS
W,47.63805556,-122.5461111,S-92-LS
W,44.32444444,-87.57916667,CM-10R
W,43.17638889,-87.93361111,M-02-CS
W,43.17805556,-87.94,M-02-LS
W,43.03083333,-87.89944444,M-20-LS
W,42.93388889,-87.84861111,M-42-CS
W,42.94388889,-87.84722222,M-42-CL
W,42.87444444,-87.00416667,M-54-CS
W,42.86472222,-87.98333333,M-54-LS
W,42.94138889,-88.14722222,M-64-CS
W,43.02305556,-88.19111111,M-74-CS
W,43.00444444,-88.19305556,M-74-LS
W,43.16194444,-88.16361111,M-86-CS
W,43.17194444,-88.15944444,M-86-LS
W,43.12,-87.96388889,M-96-CS
W,43.11972222,-87.97694444,M-96-LS
